    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
2340 | 732              733 1.094e-05 |
2360 | 739              740 1.126e-05 |
2380 | 743              744 1.147e-05 |
2400 | 752              753 1.132e-05 |
2420 | 757              758 1.135e-05 |
2440 | 762              763 1.157e-05 |
2460 | 771              772 1.134e-05 |
2480 | 775              776 1.164e-05 |
2500 | 779              780 1.189e-05 |
2520 | 788              789 1.201e-05 |
2540 | 792              793 1.199e-05 |
2560 | 798              799 1.222e-05 |
2580 | 807              808 1.218e-05 |
2600 | 812              813 1.220e-05 |
2620 | 821              822 1.227e-05 |
2640 | 826              827 1.235e-05 |
2660 | 830              831 1.242e-05 |
2680 | 838              839 1.267e-05 |
2700 | 845              846 1.281e-05 |
2720 | 848              849 1.280e-05 |
2740 | 858              859 1.308e-05 |
2760 | 864              865 1.314e-05 |
2780 | 869              870 1.321e-05 |
2800 | 876              877 1.341e-05 |
2820 | 883              884 1.343e-05 |
2840 | 889              890 1.348e-05 |
2860 | 896              897 1.349e-05 |
2880 | 901              902 1.376e-05 |
2900 | 906              907 1.395e-05 |
2920 | 915              916 1.409e-05 |
2940 | 919              920 1.416e-05 |
2960 | 925              926 1.422e-05 |
2980 | 933              934 1.445e-05 |
3000 | 938              939 1.438e-05 |
3020 | 946              947 1.446e-05 |
3040 | 952              953 1.470e-05 |
3060 | 956              957 1.466e-05 |
3080 | 965              966 1.478e-05 |
3100 | 971              972 1.490e-05 |
3120 | 975              976 1.492e-05 |
3140 | 983              984 1.514e-05 |
3160 | 989              990 1.540e-05 |
3180 | 994              995 1.739e-05 |
3200 | 1002             1003 1.552e-05 |
3220 | 1008             1009 1.562e-05 |
3240 | 1015             1016 1.587e-05 |
3260 | 1022             1023 1.595e-05 |
3280 | 1026             1027 1.612e-05 |
3300 | 1031             1032 1.610e-05 |
3320 | 1039             1040 1.628e-05 |
3340 | 1043             1044 1.616e-05 |
3360 | 1049             1050 1.644e-05 |
3380 | 1057             1058 1.674e-05 |
3400 | 1061             1062 1.663e-05 |
3420 | 1068             1069 1.718e-05 |
3440 | 1076             1077 1.701e-05 |
3460 | 1080             1081 1.676e-05 |
3480 | 1089             1090 1.702e-05 |
3500 | 1094             1095 1.740e-05 |
3520 | 1099             1100 1.739e-05 |
3540 | 1108             1109 1.744e-05 |
3560 | 1114             1115 1.735e-05 |
3580 | 1119             1120 1.752e-05 |
3600 | 1126             1127 1.808e-05 |
3620 | 1132             1133 1.819e-05 |
3640 | 1138             1139 1.805e-05 |
3660 | 1147             1148 1.814e-05 |
3680 | 1151             1152 1.826e-05 |
3700 | 1158             1159 1.852e-05 |
3720 | 1166             1167 1.862e-05 |
3740 | 1170             1171 1.885e-05 |
3760 | 1176             1177 1.894e-05 |
3780 | 1184             1185 1.892e-05 |
3800 | 1188             1189 1.919e-05 |
3820 | 1194             1195 1.949e-05 |
3840 | 1202             1203 1.941e-05 |
3860 | 1207             1208 1.925e-05 |
3880 | 1216             1217 1.944e-05 |
3900 | 1221             1222 1.982e-05 |
3920 | 1225             1226 1.989e-05 |
3940 | 1235             1236 1.996e-05 |
3960 | 1240             1241 1.985e-05 |
3980 | 1244             1245 1.979e-05 |
4000 | 1254             1255 2.038e-05 |
4020 | 1259             1260 2.053e-05 |
4040 | 1263             1264 2.047e-05 |
4060 | 1272             1273 2.034e-05 |
4080 | 1278             1279 2.058e-05 |
4100 | 1285             1286 2.111e-05 |
4120 | 1292             1293 2.088e-05 |
