    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
2340 | 732              733 1.357e-05 |
2360 | 739              740 1.331e-05 |
2380 | 743              744 1.345e-05 |
2400 | 752              753 1.350e-05 |
2420 | 757              758 1.355e-05 |
2440 | 762              763 1.377e-05 |
2460 | 771              772 1.396e-05 |
2480 | 775              776 1.382e-05 |
2500 | 779              780 1.395e-05 |
2520 | 788              789 1.405e-05 |
2540 | 792              793 1.415e-05 |
2560 | 798              799 1.425e-05 |
2580 | 807              808 1.434e-05 |
2600 | 812              813 1.445e-05 |
2620 | 821              822 1.471e-05 |
2640 | 826              827 1.465e-05 |
2660 | 830              831 1.476e-05 |
2680 | 838              839 1.499e-05 |
2700 | 845              846 1.516e-05 |
2720 | 848              849 1.512e-05 |
2740 | 858              859 1.534e-05 |
2760 | 864              865 1.548e-05 |
2780 | 869              870 1.546e-05 |
2800 | 876              877 1.557e-05 |
2820 | 883              884 1.596e-05 |
2840 | 889              890 1.569e-05 |
2860 | 896              897 1.597e-05 |
2880 | 901              902 1.614e-05 |
2900 | 906              907 1.617e-05 |
2920 | 915              916 1.621e-05 |
2940 | 919              920 1.680e-05 |
2960 | 925              926 1.669e-05 |
2980 | 933              934 1.687e-05 |
3000 | 938              939 1.669e-05 |
3020 | 946              947 1.717e-05 |
3040 | 952              953 1.700e-05 |
3060 | 956              957 1.720e-05 |
3080 | 965              966 1.709e-05 |
3100 | 971              972 1.719e-05 |
3120 | 975              976 1.733e-05 |
3140 | 983              984 1.731e-05 |
3160 | 989              990 1.741e-05 |
3180 | 994              995 1.952e-05 |
3200 | 1002             1003 1.808e-05 |
3220 | 1008             1009 1.806e-05 |
3240 | 1015             1016 1.832e-05 |
3260 | 1022             1023 1.839e-05 |
3280 | 1026             1027 1.836e-05 |
3300 | 1031             1032 1.831e-05 |
3320 | 1039             1040 1.833e-05 |
3340 | 1043             1044 1.827e-05 |
3360 | 1049             1050 1.836e-05 |
3380 | 1057             1058 4.256e-05 |
3400 | 1061             1062 3.455e-05 |
3420 | 1068             1069 1.881e-05 |
3440 | 1076             1077 1.891e-05 |
3460 | 1080             1081 1.918e-05 |
3480 | 1089             1090 1.920e-05 |
3500 | 1094             1095 1.935e-05 |
3520 | 1099             1100 1.933e-05 |
3540 | 1108             1109 1.972e-05 |
3560 | 1114             1115 1.964e-05 |
3580 | 1119             1120 2.011e-05 |
3600 | 1126             1127 1.998e-05 |
3620 | 1132             1133 2.010e-05 |
3640 | 1138             1139 2.006e-05 |
3660 | 1147             1148 2.002e-05 |
3680 | 1151             1152 2.018e-05 |
3700 | 1158             1159 2.083e-05 |
3720 | 1166             1167 2.055e-05 |
3740 | 1170             1171 2.056e-05 |
3760 | 1176             1177 2.120e-05 |
3780 | 1184             1185 2.098e-05 |
3800 | 1188             1189 2.081e-05 |
3820 | 1194             1195 2.115e-05 |
3840 | 1202             1203 2.134e-05 |
3860 | 1207             1208 2.147e-05 |
3880 | 1216             1217 2.165e-05 |
3900 | 1221             1222 2.182e-05 |
3920 | 1225             1226 2.213e-05 |
3940 | 1235             1236 2.193e-05 |
3960 | 1240             1241 2.201e-05 |
3980 | 1244             1245 2.212e-05 |
4000 | 1254             1255 2.252e-05 |
4020 | 1259             1260 2.219e-05 |
4040 | 1263             1264 2.261e-05 |
4060 | 1272             1273 2.239e-05 |
4080 | 1278             1279 2.335e-05 |
4100 | 1285             1286 2.297e-05 |
4120 | 1292             1293 2.291e-05 |
4140 | 1296             1297 2.305e-05 |
4160 | 1302             1303 2.331e-05 |
4180 | 1310             1311 2.319e-05 |
4200 | 1314             1315 2.386e-05 |
4220 | 1320             1321 2.344e-05 |
4240 | 1327             1328 2.369e-05 |
4260 | 1331             1332 2.365e-05 |
4280 | 1340             1341 2.372e-05 |
4300 | 1345             1346 2.394e-05 |
4320 | 1349             1350 2.402e-05 |
4340 | 1359             1360 2.421e-05 |
4360 | 1363             1364 2.457e-05 |
4380 | 1367             1368 2.463e-05 |
4400 | 1377             1378 2.457e-05 |
4420 | 1382             1383 2.501e-05 |
4440 | 1388             1389 2.494e-05 |
4460 | 1396             1397 2.516e-05 |
4480 | 1401             1402 2.527e-05 |
4500 | 1409             1410 2.528e-05 |
4520 | 1416             1417 2.510e-05 |
4540 | 1420             1421 2.542e-05 |
4560 | 1426             1427 2.570e-05 |
4580 | 1434             1435 2.555e-05 |
4600 | 1438             1439 2.573e-05 |
4620 | 1445             1446 2.599e-05 |
4640 | 1451             1452 2.591e-05 |
4660 | 1455             1456 2.587e-05 |
4680 | 1462             1463 2.636e-05 |
4700 | 1469             1470 2.624e-05 |
4720 | 1475             1476 2.653e-05 |
4740 | 1484             1485 2.651e-05 |
4760 | 1489             1490 2.646e-05 |
4780 | 1493             1494 2.669e-05 |
4800 | 1502             1503 2.727e-05 |
4820 | 1507             1508 2.703e-05 |
4840 | 1513             1514 2.686e-05 |
4860 | 1521             1522 2.742e-05 |
4880 | 1526             1527 2.749e-05 |
4900 | 1533             1534 2.746e-05 |
4920 | 1540             1541 2.748e-05 |
4940 | 1545             1546 2.752e-05 |
4960 | 1553             1554 2.799e-05 |
4980 | 1559             1560 2.794e-05 |
5000 | 1563             1564 2.779e-05 |
5020 | 1570             1571 2.819e-05 |
5040 | 1577             1578 2.851e-05 |
5060 | 1582             1583 2.835e-05 |
5080 | 1589             1590 2.864e-05 |
5100 | 1596             1597 2.898e-05 |
5120 | 1601             1602 2.867e-05 |
5140 | 1610             1611 2.899e-05 |
5160 | 1615             1616 2.925e-05 |
5180 | 1619             1620 2.894e-05 |
5200 | 1628             1629 2.927e-05 |
5220 | 1633             1634 2.910e-05 |
5240 | 1637             1638 2.936e-05 |
5260 | 1646             1647 2.978e-05 |
5280 | 1651             1652 2.945e-05 |
5300 | 1656             1657 2.973e-05 |
5320 | 1664             1665 2.990e-05 |
5340 | 1669             1670 2.999e-05 |
5360 | 1677             1678 3.025e-05 |
5380 | 1683             1684 3.022e-05 |
5400 | 1687             1688 3.027e-05 |
5420 | 1695             1696 3.075e-05 |
5440 | 1702             1703 3.047e-05 |
5460 | 1706             1707 3.079e-05 |
5480 | 1713             1714 3.133e-05 |
5500 | 1720             1721 3.055e-05 |
5520 | 1724             1725 3.071e-05 |
5540 | 1733             1734 3.119e-05 |
5560 | 1739             1740 3.155e-05 |
5580 | 1744             1745 3.129e-05 |
5600 | 1753             1754 3.137e-05 |
5620 | 1757             1758 3.173e-05 |
5640 | 1762             1763 3.180e-05 |
5660 | 1771             1772 3.196e-05 |
5680 | 1776             1777 3.187e-05 |
5700 | 1782             1783 3.194e-05 |
5720 | 1791             1792 3.189e-05 |
5740 | 1796             1797 3.247e-05 |
5760 | 1805             1806 3.261e-05 |
5780 | 1811             1812 3.243e-05 |
5800 | 1815             1816 3.277e-05 |
5820 | 1822             1823 3.279e-05 |
5840 | 1829             1830 3.265e-05 |
5860 | 1833             1834 3.309e-05 |
5880 | 1842             1843 3.322e-05 |
5900 | 1848             1849 3.344e-05 |
5920 | 1852             1853 3.354e-05 |
5940 | 1860             1861 3.347e-05 |
5960 | 1867             1868 3.362e-05 |
5980 | 1874             1875 3.387e-05 |
6000 | 1882             1883 3.759e-05 |
6020 | 1886             1887 3.412e-05 |
6040 | 1890             1891 3.375e-05 |
6060 | 1900             1901 3.407e-05 |
6080 | 1904             1905 3.448e-05 |
6100 | 1910             1911 3.408e-05 |
6120 | 1918             1919 3.451e-05 |
6140 | 1922             1923 3.469e-05 |
6160 | 1930             1931 3.462e-05 |
6180 | 1936             1937 3.507e-05 |
6200 | 1940             1941 3.453e-05 |
6220 | 1950             1951 3.494e-05 |
6240 | 1955             1956 3.510e-05 |
6260 | 1959             1960 3.551e-05 |
6280 | 1967             1968 3.523e-05 |
6300 | 1973             1974 3.558e-05 |
6320 | 1978             1979 3.565e-05 |
6340 | 1985             1986 3.559e-05 |
6360 | 1992             1993 3.578e-05 |
6380 | 1998             1999 3.628e-05 |
6400 | 2006             2007 3.654e-05 |
6420 | 2010             2011 3.683e-05 |
6440 | 2015             2016 3.771e-05 |
6460 | 2024             2025 3.659e-05 |
6480 | 2028             2029 3.659e-05 |
6500 | 2034             2035 3.666e-05 |
6520 | 2043             2044 3.679e-05 |
6540 | 2047             2048 3.674e-05 |
6560 | 2053             2054 3.692e-05 |
6580 | 2062             2063 3.713e-05 |
6600 | 2066             2067 3.718e-05 |
6620 | 2076             2077 3.743e-05 |
6640 | 2081             2082 3.785e-05 |
6660 | 2085             2086 3.782e-05 |
6680 | 2093             2094 3.771e-05 |
6700 | 2099             2100 3.763e-05 |
6720 | 2104             2105 3.826e-05 |
6740 | 2111             2112 3.806e-05 |
6760 | 2117             2118 3.772e-05 |
6780 | 2123             2124 3.829e-05 |
6800 | 2132             2133 3.842e-05 |
6820 | 2136             2137 3.825e-05 |
6840 | 2142             2143 3.875e-05 |
6860 | 2149             2150 3.855e-05 |
6880 | 2153             2154 3.913e-05 |
6900 | 2159             2160 3.918e-05 |
6920 | 2167             2168 3.916e-05 |
6940 | 2171             2172 3.897e-05 |
6960 | 2177             2178 3.898e-05 |
6980 | 2186             2187 3.942e-05 |
7000 | 2190             2191 3.940e-05 |
7020 | 2200             2201 3.973e-05 |
7040 | 2205             2206 3.988e-05 |
7060 | 2209             2210 3.956e-05 |
7080 | 2217             2218 4.066e-05 |
7100 | 2223             2224 4.012e-05 |
7120 | 2227             2228 3.997e-05 |
7140 | 2236             2237 4.003e-05 |
7160 | 2242             2243 4.046e-05 |
7180 | 2246             2247 4.047e-05 |
7200 | 2255             2256 4.092e-05 |
7220 | 2260             2261 4.072e-05 |
7240 | 2268             2269 4.080e-05 |
7260 | 2275             2276 4.084e-05 |
7280 | 2279             2280 4.134e-05 |
7300 | 2286             2287 4.137e-05 |
7320 | 2294             2295 4.170e-05 |
7340 | 2298             2299 4.188e-05 |
7360 | 2305             2306 4.143e-05 |
7380 | 2313             2314 4.177e-05 |
7400 | 2317             2318 4.138e-05 |
7420 | 2326             2327 4.207e-05 |
7440 | 2332             2333 4.174e-05 |
7460 | 2335             2336 4.220e-05 |
7480 | 2345             2346 4.213e-05 |
7500 | 2350             2351 4.237e-05 |
7520 | 2354             2355 4.266e-05 |
7540 | 2364             2365 4.276e-05 |
7560 | 2369             2370 4.303e-05 |
7580 | 2374             2375 4.245e-05 |
7600 | 2381             2382 4.286e-05 |
7620 | 2386             2387 4.291e-05 |
7640 | 2393             2394 4.318e-05 |
7660 | 2400             2401 4.319e-05 |
7680 | 2404             2405 4.323e-05 |
7700 | 2410             2411 4.386e-05 |
7720 | 2418             2419 4.338e-05 |
7740 | 2422             2423 4.339e-05 |
7760 | 2429             2430 4.331e-05 |
7780 | 2437             2438 4.361e-05 |
7800 | 2441             2442 4.418e-05 |
7820 | 2448             2449 4.384e-05 |
7840 | 2456             2457 4.427e-05 |
7860 | 2460             2461 8.150e-05 |
7880 | 2470             2471 4.450e-05 |
7900 | 2474             2475 4.441e-05 |
7920 | 2479             2480 4.482e-05 |
7940 | 2488             2489 4.417e-05 |
7960 | 2494             2495 4.449e-05 |
7980 | 2499             2500 4.495e-05 |
